"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/3igjcjQuld @UMNObrp",FALSE,0,NA,2015-02-17 07:39:48,FALSE,NA,"567589213458006016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Srwktwt",0,FALSE,FALSE,NA,NA
"2","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/3igjcjQuld @umnokorea",FALSE,0,NA,2015-02-17 07:39:35,FALSE,NA,"567589158734929921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Srwktwt",0,FALSE,FALSE,NA,NA
"3","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/3igjcjQuld @UMNOLondon",FALSE,0,NA,2015-02-17 07:39:25,FALSE,NA,"567589117534273536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Srwktwt",0,FALSE,FALSE,NA,NA
"4","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/3igjcjQuld @Ppubsb",FALSE,0,NA,2015-02-17 07:39:09,FALSE,NA,"567589049959858177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Srwktwt",0,FALSE,FALSE,NA,NA
"5","NDLEA Nab Cherubim &amp; Seraphim Pastor Trying To Export Cocaine Worth N609m To S.Africa http://t.co/cj8W89FS64",FALSE,0,NA,2015-02-17 07:39:06,FALSE,NA,"567589035636301824",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","MySugarDaily",0,FALSE,FALSE,NA,NA
"6","NDLEA Nab Cherubim &amp; Seraphim Pastor Trying To Export Cocaine Worth N609m To S.Africa http://t.co/h8DXZmH9O7",FALSE,0,NA,2015-02-17 07:39:05,FALSE,NA,"567589031303602177",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","_NanaKing",0,FALSE,FALSE,NA,NA
"7","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/3igjcjQuld @TelukBelanga_SB",FALSE,0,NA,2015-02-17 07:38:53,FALSE,NA,"567588981064220672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Srwktwt",0,FALSE,FALSE,NA,NA
"8","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/3igjcjQuld @kukaJordan",FALSE,0,NA,2015-02-17 07:38:42,FALSE,NA,"567588935207899139",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Srwktwt",0,FALSE,FALSE,NA,NA
"9","Given the current Kangas injuries crises, is Sam Durdin supercoach relevant? He could be, watch in NAB cup.",FALSE,0,NA,2015-02-17 07:38:19,FALSE,NA,"567588839464509440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheSCHuddle",0,FALSE,FALSE,NA,NA
"10","http://t.co/YaSshmVvdI Fake Casting: Teen Gets Assfucked for 1st Time On Sofa #porn #teen #freeporn #nab",FALSE,0,NA,2015-02-17 07:38:17,FALSE,NA,"567588832921804800",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","faphotties",0,FALSE,FALSE,NA,NA
"11","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/3igjcjQuld @UMNOWP",FALSE,0,NA,2015-02-17 07:37:53,FALSE,NA,"567588730915930112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Srwktwt",0,FALSE,FALSE,NA,NA
"12","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/3igjcjQuld @Suara_UMNO",FALSE,0,NA,2015-02-17 07:37:40,FALSE,NA,"567588678600359936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Srwktwt",0,FALSE,FALSE,NA,NA
"13","when bfdr follows you JUST to nab ur dank tweets",FALSE,0,NA,2015-02-17 07:37:21,FALSE,NA,"567588597600387072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fuckinbillcam",0,FALSE,FALSE,NA,NA
"14","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/3igjcjQuld @muafakatumnojoh",FALSE,0,NA,2015-02-17 07:37:06,FALSE,NA,"567588532961566721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Srwktwt",0,FALSE,FALSE,NA,NA
"15","RT @bookbellereads: Any bloggers want to nab a beautiful copy of The Distance by @HelenGiltrow to review? Let me know! Out 26th February. h…",FALSE,0,NA,2015-02-17 07:36:38,FALSE,NA,"567588415957635072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChouettBlog",4,TRUE,FALSE,NA,NA
"16","RT @SemutSemariang: We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/I0X5HVTYFL @mpkotabelud",FALSE,0,NA,2015-02-17 07:35:31,FALSE,NA,"567588135828078592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ban7799",3,TRUE,FALSE,NA,NA
"17","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/poQECKjSCl @ApbmSelangor @rakanmudaLAH",FALSE,0,"ApbmSelangor",2015-02-17 07:34:54,FALSE,"567584940083380224","567587982526251009","2935840004","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","makcheewah999",0,FALSE,FALSE,NA,NA
"18","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/poQECKjSCl @zarakahan @ibdil @Khairykj",FALSE,0,"zarakahan",2015-02-17 07:34:41,FALSE,"567583101077823488","567587925072695296","80297349","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","makcheewah999",0,FALSE,FALSE,NA,NA
"19","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/poQECKjSCl @nurislah",FALSE,0,"nurislah",2015-02-17 07:34:28,FALSE,"567585216781234176","567587872413188096","30822404","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","makcheewah999",0,FALSE,FALSE,NA,NA
"20","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/PHdwaadFsN @AktivisRakyat4",FALSE,0,"AktivisRakyat4",2015-02-17 07:33:52,FALSE,"567584181396320256","567587721766371330","2256265992","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MPatriotsTweets",0,FALSE,FALSE,NA,NA
"21","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/PHdwaadFsN @umnoonline @sm_hafizan",FALSE,0,"umnoonline",2015-02-17 07:33:35,FALSE,"567486900433203200","567587648592547840","105835081","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MPatriotsTweets",0,FALSE,FALSE,NA,NA
"22","RT @theheraldsun: Essendon has revealed the first five top-up players for the NAB Challenge. http://t.co/7b6YxIuexZ",FALSE,0,NA,2015-02-17 07:33:21,FALSE,NA,"567587591453966337",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","APropertyInvest",1,TRUE,FALSE,NA,NA
"23","We’ll nab Jones with Interpol’s help, says @PDRMsia. Syabas @KBAB51 |  http://t.co/PHdwaadFsN @9GAGTweets",FALSE,0,"9GAGTweets",2015-02-17 07:33:15,FALSE,"567584975357480962","567587563565617152","471022109","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MPatriotsTweets",0,FALSE,FALSE,NA,NA
"24","RT @ToulouseDonovan: John 14:1 (NAB) : ""Do not let your hearts be troubled. You have faith in God; have faith... #catholic http://t.co/HUOY…",FALSE,0,NA,2015-02-17 07:33:04,FALSE,NA,"567587520842838016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RBOGORMAN",1,TRUE,FALSE,NA,NA
