"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#Denver Westpac New Zealand gets a new CIO http://t.co/SssEqY7fvy http://t.co/xldShz2cxW",FALSE,0,NA,2015-02-17 07:38:56,FALSE,NA,"567588996335665153",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","HotelJobsQ",0,FALSE,FALSE,NA,NA
"2","FORD Westpac New Zealand gets a new CIO http://t.co/q2LKwd2XxO http://t.co/GTBRhwlzRm",FALSE,0,NA,2015-02-17 07:38:54,FALSE,NA,"567588986852360192",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","DetroitJobsQ",0,FALSE,FALSE,NA,NA
"3","Eurogroup Meeting - What will Friday bring in for the Euro? – Westpac http://t.co/BxbR9edUFp",FALSE,0,NA,2015-02-17 07:38:53,FALSE,NA,"567588981945036800",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","yuwonowhy",0,FALSE,FALSE,NA,NA
"4","SURF Westpac New Zealand gets a new CIO http://t.co/bz0fn6XG4H http://t.co/MI7fY3cjJm",FALSE,0,NA,2015-02-17 07:38:51,FALSE,NA,"567588975817158656",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","ChulaVistaJobsQ",0,FALSE,FALSE,NA,NA
"5","WEB $ Westpac New Zealand gets a new CIO http://t.co/ZzWNmqG5Cu http://t.co/R5C6nS6myx",FALSE,0,NA,2015-02-17 07:38:49,FALSE,NA,"567588966224764928",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","WebJobsQ",0,FALSE,FALSE,NA,NA
"6","#Kentucky Westpac New Zealand gets a new CIO http://t.co/zKl9xpR2rp http://t.co/qEG604vasv",FALSE,0,NA,2015-02-17 07:38:47,FALSE,NA,"567588956506554368",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","KentuckyJobsPay",0,FALSE,FALSE,NA,NA
"7","RT @reconjoe8tet68: @IDFSpokesperson We Marines from Westpac have your six.That's Vietnam! Just let is lose, body count our names.@vcortesu…",FALSE,0,NA,2015-02-17 07:38:20,FALSE,NA,"567588843164274689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VAMPRIMAL",3,TRUE,FALSE,NA,NA
"8","RT @reconjoe8tet68: @VAMPRIMAL Work to help one another, we prevail.  The men and women who fought Westpac highly trained in jungle warfare…",FALSE,0,NA,2015-02-17 07:38:10,FALSE,NA,"567588800571125760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VAMPRIMAL",2,TRUE,FALSE,NA,NA
"9","Australia's Genworth says Westpac scraps mortgage insurance deal, sees profit hit http://t.co/2wQGsJTO0O #companynews",FALSE,2,NA,2015-02-17 07:36:42,FALSE,NA,"567588432269295616",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","allin1indonews",0,FALSE,FALSE,NA,NA
"10","Australia's Genworth says Westpac scraps mortgage insurance deal, sees profit hit http://t.co/Q1XOwoJXTK #business #bloomberg",FALSE,1,NA,2015-02-17 07:36:40,FALSE,NA,"567588425386455040",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","CedarCalifornia",0,FALSE,FALSE,NA,NA
